postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3125,15021,110,4547,732.3,23,6,27/06/2022,2022-06-28
3126,8060,45,2311,558.3,5,6,27/06/2022,2022-06-28
3127,18445,162,5758,878.3,20,6,27/06/2022,2022-06-28
3128,19832,153,6541,771.5,38,6,27/06/2022,2022-06-28
3129,17374,135,5362,777,21,6,27/06/2022,2022-06-28
3130,32171,307,10525,954.3,45,6,27/06/2022,2022-06-28
3131,22499,194,6707,862.3,38,6,27/06/2022,2022-06-28
3132,16148,165,5273,1021.8,23,7,27/06/2022,2022-06-28
3133,22119,194,6691,877.1,36,6,27/06/2022,2022-06-28
3134,32782,314,11001,957.8,46,6,27/06/2022,2022-06-28
3135,19954,208,6633,1042.4,31,7,27/06/2022,2022-06-28
3136,44373,407,14497,917.2,83,6,27/06/2022,2022-06-28
3137,13872,138,4782,994.8,30,6,27/06/2022,2022-06-28
3138,21964,184,7756,837.7,34,6,27/06/2022,2022-06-28
3139,13722,82,4089,597.6,17,6,27/06/2022,2022-06-28
3140,16532,151,5500,913.4,23,6,27/06/2022,2022-06-28
3141,25149,145,8797,576.6,26,6,27/06/2022,2022-06-28
3142,12912,61,3601,472.4,11,5,27/06/2022,2022-06-28
3143,9052,63,3005,696,12,6,27/06/2022,2022-06-28
3144,10885,53,3504,486.9,11,5,27/06/2022,2022-06-28
3145,23294,161,7743,691.2,44,6,27/06/2022,2022-06-28
3146,25256,184,8635,728.5,30,6,27/06/2022,2022-06-28
3147,14634,126,4980,861,28,6,27/06/2022,2022-06-28
3148,8643,82,3007,948.7,10,6,27/06/2022,2022-06-28
3149,33612,268,10339,797.3,42,6,27/06/2022,2022-06-28
3150,60082,399,17815,664.1,71,6,27/06/2022,2022-06-28
3151,10269,61,2962,594,8,6,27/06/2022,2022-06-28
3152,33089,308,10658,930.8,54,6,27/06/2022,2022-06-28
3153,20552,178,6916,866.1,32,6,27/06/2022,2022-06-28
3154,4418,47,1534,1063.8,5,7,27/06/2022,2022-06-28
3155,22193,165,7329,743.5,39,6,27/06/2022,2022-06-28
3156,37458,272,12402,726.1,40,6,27/06/2022,2022-06-28
3158,6648,50,2262,752.1,7,6,27/06/2022,2022-06-28
3159,2652,20,818,754.1,1,6,27/06/2022,2022-06-28
3160,9014,73,3083,809.9,12,6,27/06/2022,2022-06-28
3161,15271,108,6218,707.2,18,6,27/06/2022,2022-06-28
3162,17452,125,6807,716.3,32,6,27/06/2022,2022-06-28
3163,32355,257,10735,794.3,53,6,27/06/2022,2022-06-28
3164,0,0,0,0,0,0,27/06/2022,2022-06-28
3165,27636,184,10446,665.8,30,6,27/06/2022,2022-06-28
3166,23759,194,8422,816.5,40,6,27/06/2022,2022-06-28
3167,9259,69,3236,745.2,15,6,27/06/2022,2022-06-28
3168,20200,145,7288,717.8,32,6,27/06/2022,2022-06-28
3169,20122,118,6572,586.4,18,6,27/06/2022,2022-06-28
3170,19370,123,6615,635,22,6,27/06/2022,2022-06-28
3171,21713,72,6442,331.6,15,5,27/06/2022,2022-06-28
3172,23091,115,7221,498,23,5,27/06/2022,2022-06-28
3173,25785,124,9864,480.9,20,5,27/06/2022,2022-06-28
3174,38465,140,12303,364,27,5,27/06/2022,2022-06-28
3175,53297,211,16713,395.9,51,5,27/06/2022,2022-06-28
3177,11305,56,3412,495.4,9,5,27/06/2022,2022-06-28
3178,33669,211,10728,626.7,49,6,27/06/2022,2022-06-28
3179,6019,45,2020,747.6,7,6,27/06/2022,2022-06-28
3180,7462,43,2328,576.3,4,6,27/06/2022,2022-06-28
3181,20267,138,7758,680.9,19,6,27/06/2022,2022-06-28
3182,23394,159,8712,679.7,39,6,27/06/2022,2022-06-28
